"yyyy" "mm" "dd" "Duparquet" "Canpiapiscau" "Fermont" "Goose_Bay"
"95" 1951 4 5 -20.48 -19.5 -17.18 -14.61
"96" 1951 4 6 -20.58 -19.59 -17.62 -14.03
"97" 1951 4 7 -20.58 -19.61 -17.64 -15.05
"98" 1951 4 8 -20.58 -19.61 -17.67 -14.93
"99" 1951 4 9 -20.51 -19.61 -17.69 -13.73
"100" 1951 4 10 -19.97 -19.58 -17.61 -14.09
"101" 1951 4 11 -19.43 -19.54 -17.8 -14.43
"102" 1951 4 12 -19.33 -19.51 -18.02 -14.25
"103" 1951 4 13 -19.34 -19.36 -18.95 -14.15
"104" 1951 4 14 -19.38 -19.39 -19.85 -14.13
"105" 1951 4 15 -19.94 -18.93 -19.8 -14.17
"106" 1951 4 16 -20.93 -18.55 -19.67 -14.77
"107" 1951 4 17 -21.36 -18.46 -19.9 -15.04
"108" 1951 4 18 -21.59 -18.5 -21 -15.2
"109" 1951 4 19 -21.56 -18.78 -21.04 -15.51
"110" 1951 4 20 -21.48 -19.01 -21.08 -15.58
"111" 1951 4 21 -21.34 -19.17 -21.17 -15.71
"112" 1951 4 22 -21.17 -19.17 -21.18 -15.75
"113" 1951 4 23 -20.77 -19.48 -21.2 -15.75
"114" 1951 4 24 -20.84 -20.27 -21.49 -15.7
"115" 1951 4 25 -20.84 -20.38 -21.53 -15.78
"116" 1951 4 26 -20.84 -20.41 -21.54 -15.8
"117" 1951 4 27 -20.85 -20.43 -21.55 -15.8
"118" 1951 4 28 -20.78 -20.45 -21.54 -15.8
"119" 1951 4 29 -19.99 -20.52 -21.44 -15.8
"120" 1951 4 30 -19.81 -20.54 -21.43 -16.67
"121" 1951 5 1 -20.58 -22.6 -23.52 -22.12
"122" 1951 5 2 -18.02 -25.84 -25.53 -22.89
"123" 1951 5 3 -17.9 -17.96 -22.7 -21.41
"124" 1951 5 4 -15.86 -16.6 -20.67 -20.87
"125" 1951 5 5 -12.87 -16.24 -19.92 -21.04
"126" 1951 5 6 -13.08 -16.16 -19.96 -20.87
"127" 1951 5 7 -14.43 -16.22 -19.99 -20.48
"128" 1951 5 8 -14.82 -17.33 -20.32 -20.3
"129" 1951 5 9 -15.8 -17.68 -20.5 -20.03
"130" 1951 5 10 -15.95 -18.35 -20.92 -19.63
"131" 1951 5 11 -15.95 -18.61 -21.1 -19.69
"132" 1951 5 12 -15.98 -18.58 -21.26 -19.7
"133" 1951 5 13 -15.97 -18.57 -21.23 -19.65
"134" 1951 5 14 -15.89 -18.71 -21.18 -20.07
"135" 1951 5 15 -14.59 -18.75 -21.1 -20.05
"136" 1951 5 16 -13.45 -18.77 -21.02 -20.07
"137" 1951 5 17 -13.27 -18.84 -21.03 -20.13
"138" 1951 5 18 -13.26 -18.82 -20.93 -20.13
"139" 1951 5 19 -12.83 -18.77 -20.84 -20.13
"140" 1951 5 20 -12.64 -18.7 -19.91 -20.14
"141" 1951 5 21 -12.18 -17.37 -18.76 -20.08
"142" 1951 5 22 -12.1 -15.9 -18.18 -19.41
"143" 1951 5 23 -12.46 -15.97 -18.17 -19.13
"144" 1951 5 24 -12.49 -15.98 -18.18 -19.18
"145" 1951 5 25 -12.52 -15.98 -18.2 -19.2
"146" 1951 5 26 -12.52 -15.99 -18.2 -19.2
"147" 1951 5 27 -12.39 -15.99 -18.2 -19.19
"148" 1951 5 28 -12.28 -16.01 -18.03 -19.19
"149" 1951 5 29 -12.33 -15.84 -17.55 -19.19
"150" 1951 5 30 -12.3 -15.7 -17.36 -19.19
"151" 1951 5 31 -12.29 -15.62 -17.23 -19.06
"152" 1951 6 1 -13.71 -13.65 -12.21 -21.03
"153" 1951 6 2 -14.33 -18.74 -17.6 -21.35
"154" 1951 6 3 -13.95 -20.19 -19.69 -20.81
"155" 1951 6 4 -11.92 -20.04 -19.86 -20.69
"156" 1951 6 5 -11.83 -19.31 -17.91 -19.53
"157" 1951 6 6 -12.03 -19.02 -17.97 -18.59
"158" 1951 6 7 -12.13 -19.08 -18.34 -18.56
"159" 1951 6 8 -12.29 -19.32 -18.46 -18.46
"160" 1951 6 9 -12.48 -19.56 -18.55 -17.6
"161" 1951 6 10 -12.41 -19.52 -18.57 -17.54
"162" 1951 6 11 -12.33 -19.43 -18.5 -17.55
"163" 1951 6 12 -13.29 -19.43 -18.49 -17.55
"164" 1951 6 13 -13.78 -19.39 -18.4 -17.55
"165" 1951 6 14 -13.9 -19.64 -17.8 -17.55
"166" 1951 6 15 -13.95 -20.72 -16.97 -17.54
"167" 1951 6 16 -13.92 -20.72 -16.91 -17.54
"168" 1951 6 17 -13.9 -20.55 -16.86 -17.53
"169" 1951 6 18 -13.86 -20.39 -16.81 -17.53
"170" 1951 6 19 -13.33 -19.65 -16.57 -17.53
"171" 1951 6 20 -13.04 -19.48 -16.18 -17.42
"172" 1951 6 21 -13.28 -18.27 -15.37 -16.99
"173" 1951 6 22 -13.97 -17.2 -15.41 -16.65
"174" 1951 6 23 -13.98 -17.6 -15.85 -16.89
"175" 1951 6 24 -13.96 -17.71 -16.05 -16.98
"176" 1951 6 25 -13.85 -18.28 -16.36 -17.02
"177" 1951 6 26 -13.85 -20.07 -17.33 -17.17
"178" 1951 6 27 -13.89 -20.63 -18.07 -17.85
"179" 1951 6 28 -13.9 -20.64 -18.1 -17.67
"180" 1951 6 29 -13.85 -20.64 -18.11 -17.63
"181" 1951 6 30 -13.88 -20.5 -18 -17.6
"182" 1951 7 1 -18.4 -20.38 -20.84 -9.82
"183" 1951 7 2 -16.49 -19.78 -20.27 -10.03
"184" 1951 7 3 -15.85 -18.98 -19.94 -11.56
"185" 1951 7 4 -15.85 -20.42 -20.75 -12.99
"186" 1951 7 5 -15.85 -22.44 -20.67 -13.13
"187" 1951 7 6 -15.87 -23.48 -20.85 -13.42
"188" 1951 7 7 -15.77 -23.1 -20.65 -13.52
"189" 1951 7 8 -14.51 -22.15 -19.83 -13.75
"190" 1951 7 9 -10.97 -19.97 -17.82 -13.58
"191" 1951 7 10 -10.94 -18.29 -15.87 -13.02
"192" 1951 7 11 -12.35 -18.19 -15.68 -12.27
"193" 1951 7 12 -12.44 -18.32 -15.87 -12.45
"194" 1951 7 13 -12.48 -18.32 -15.9 -12.51
"195" 1951 7 14 -12.63 -18.42 -16.02 -12.16
"196" 1951 7 15 -12.75 -18.49 -16.14 -12.21
"197" 1951 7 16 -12.81 -18.65 -16.27 -12.25
"198" 1951 7 17 -12.81 -18.81 -16.32 -12.35
"199" 1951 7 18 -12.83 -18.86 -16.4 -12.61
"200" 1951 7 19 -12.67 -18.87 -16.47 -12.7
"201" 1951 7 20 -12.85 -18.5 -16.21 -12.59
"202" 1951 7 21 -12.83 -18.37 -16.3 -11.78
"203" 1951 7 22 -12.06 -18.29 -16.2 -11.99
"204" 1951 7 23 -12 -18.34 -16.19 -11.9
"205" 1951 7 24 -12.02 -18.45 -16.33 -12.01
"206" 1951 7 25 -12.02 -18.46 -16.37 -12.05
"207" 1951 7 26 -12.03 -18.46 -16.37 -12.08
"208" 1951 7 27 -12.08 -18.5 -16.39 -12.2
"209" 1951 7 28 -12.08 -18.55 -16.48 -12.44
"210" 1951 7 29 -12.13 -18.73 -16.61 -12.53
"211" 1951 7 30 -12.32 -18.83 -17.14 -12.61
"212" 1951 7 31 -12.42 -18.86 -17.38 -13.13
"213" 1951 8 1 -15.87 -23.49 -17.31 -19.31
"214" 1951 8 2 -16.96 -24.84 -18.13 -11.53
"215" 1951 8 3 -13.8 -24.54 -18.23 -12.5
"216" 1951 8 4 -13.58 -24 -18.27 -13.1
"217" 1951 8 5 -13.6 -23.92 -18.28 -13.97
"218" 1951 8 6 -13.6 -23.65 -18.27 -14
"219" 1951 8 7 -13.57 -22.83 -17.97 -14.02
"220" 1951 8 8 -13.53 -22.79 -17.89 -14.04
"221" 1951 8 9 -13.11 -21.55 -17.16 -14.05
"222" 1951 8 10 -12.62 -20.35 -16.65 -13.69
"223" 1951 8 11 -12.64 -20.28 -16.67 -12.95
"224" 1951 8 12 -12.7 -20.28 -16.67 -12.97
"225" 1951 8 13 -12.92 -20.21 -16.67 -12.96
"226" 1951 8 14 -12.94 -20.2 -16.75 -13.01
"227" 1951 8 15 -13.07 -20.16 -16.84 -13.15
"228" 1951 8 16 -13.12 -20.17 -16.9 -13.56
"229" 1951 8 17 -13.13 -20.23 -16.95 -13.72
"230" 1951 8 18 -13.16 -20.28 -17.04 -13.73
"231" 1951 8 19 -13.22 -20.19 -17.05 -13.75
"232" 1951 8 20 -13.26 -20.16 -17.06 -13.77
"233" 1951 8 21 -13.35 -20.14 -17.07 -13.79
"234" 1951 8 22 -13.92 -20.12 -17.07 -13.81
"235" 1951 8 23 -13.96 -20.12 -17.07 -13.73
"236" 1951 8 24 -13.96 -20.12 -17.07 -13.72
"237" 1951 8 25 -13.96 -20.12 -17.07 -13.72
"238" 1951 8 26 -13.96 -19.86 -17.07 -13.72
"239" 1951 8 27 -13.91 -19.82 -17.07 -13.72
"240" 1951 8 28 -13.87 -19.73 -17.06 -13.62
"241" 1951 8 29 -13.81 -19.61 -17.03 -13.35
"242" 1951 8 30 -13.82 -19.61 -17.15 -13.21
"243" 1951 8 31 -13.8 -19.48 -17.12 -13.27
"244" 1951 9 1 NA -20.86 -13.76 -17.51
"245" 1951 9 2 -16.45 -22.25 -15.29 -13.9
"246" 1951 9 3 -13.52 -21.79 -16.12 -12.71
"247" 1951 9 4 -12.83 -20.66 -16.15 -12.95
"248" 1951 9 5 -14.11 -19.5 -16.18 -15.17
"249" 1951 9 6 -14.99 -19.98 -17.01 -15.59
"250" 1951 9 7 -15.68 -20.12 -17.88 -15.4
"251" 1951 9 8 -15.7 -20.47 -19.09 -14.44
"252" 1951 9 9 -15.73 -20.52 -19.54 -14.63
"253" 1951 9 10 -15.61 -20.45 -19.37 -14.74
"254" 1951 9 11 -13.19 -20.11 -18.45 -14.76
"255" 1951 9 12 -12.72 -18.8 -17.12 -14.74
"256" 1951 9 13 -12.49 -18.29 -16.85 -14.39
"257" 1951 9 14 -11.97 -17.72 -16.34 -14.39
"258" 1951 9 15 -12.05 -17.33 -15.6 -14.31
"259" 1951 9 16 -12.48 -17.32 -15.57 -14.13
"260" 1951 9 17 -13.21 -17.32 -15.66 -13.42
"261" 1951 9 18 -13.74 -17.46 -16.16 -13.16
"262" 1951 9 19 -13.97 -17.73 -16.69 -13.05
"263" 1951 9 20 -14.05 -18.05 -16.78 -13.13
"264" 1951 9 21 -13.98 -18.01 -16.71 -13.21
"265" 1951 9 22 -13.88 -17.71 -16.11 -13.23
"266" 1951 9 23 -14.19 -17.77 -16.16 -13.33
"267" 1951 9 24 -14.24 -17.86 -16.3 -13.32
"268" 1951 9 25 -14.45 -17.9 -16.41 -13.37
"269" 1951 9 26 -14.59 -17.96 -17.09 -13.7
"270" 1951 9 27 -14.42 -17.97 -17.25 -14.58
"271" 1951 9 28 -14.61 -18.29 -17.14 -14.61
"272" 1951 9 29 -14.65 -18.53 -17.22 -14.39
"273" 1951 9 30 -14.63 -18.66 -17.37 -14.44
"274" 1951 10 1 -13.69 -13.46 -17.46 -17.23
"275" 1951 10 2 -11.87 -14.41 -17.65 -17.53
"276" 1951 10 3 -11.35 -17.46 -17.63 -19.33
"277" 1951 10 4 -8.47 -19.93 -14.63 -20.56
"278" 1951 10 5 -9.16 -20.49 -13.1 -16.68
"279" 1951 10 6 -9.82 -20.22 -13.16 -16
"280" 1951 10 7 -9.86 -20.15 -13.16 -15.94
"281" 1951 10 8 -12.94 -20.01 -13.21 -15.94
"282" 1951 10 9 -15.11 -20.05 -14.29 -16.65
"283" 1951 10 10 -15.09 -20.08 -14.63 -17.34
"284" 1951 10 11 -15.11 -20.22 -15.32 -17.44
"285" 1951 10 12 -15.11 -19.73 -15.59 -17.62
"286" 1951 10 13 -15.09 -19.67 -15.56 -17.55
"287" 1951 10 14 -15.09 -19.48 -15.58 -17.55
"288" 1951 10 15 -14.95 -18.51 -15.52 -17.48
"289" 1951 10 16 -14.76 -18.21 -15.39 -17.43
"290" 1951 10 17 -14.51 -17.54 -15.26 -17.4
"291" 1951 10 18 -13.92 -17.31 -15.17 -17.33
"292" 1951 10 19 -12.52 -16.95 -14.62 -17.15
"293" 1951 10 20 -12.29 -16.27 -14.12 -16.92
"294" 1951 10 21 -12.3 -16.22 -14.1 -16.81
"295" 1951 10 22 -11.99 -16.21 -14.09 -16.79
"296" 1951 10 23 -11.2 -15.49 -13.27 -16.58
"297" 1951 10 24 -11.31 -15.21 -13.04 -16.05
"298" 1951 10 25 -12.06 -15.22 -13.32 -16.05
"299" 1951 10 26 -12.21 -15.53 -14.52 -16.4
"300" 1951 10 27 -12.35 -15.92 -14.77 -16.77
"301" 1951 10 28 -12.46 -16.4 -15 -16.9
"302" 1951 10 29 -12.63 -16.41 -15.03 -17.04
"303" 1951 10 30 -13.07 -16.45 -15.05 -18.67
"304" 1951 10 31 -13.9 -16.45 -15.12 -18.84
"305" 1951 11 1 -15.78 -26.4 -22.91 -16.46
"306" 1951 11 2 -18.3 -26 -22.91 -13.53
"307" 1951 11 3 -24.47 -25.93 -23.11 -13.84
"308" 1951 11 4 -25.47 -23.37 -18.61 -12.08
"309" 1951 11 5 -25.06 -22.66 -18.44 -10.04
"310" 1951 11 6 -24.86 -22.63 -18.44 -10.1
"311" 1951 11 7 -24.68 -22.52 -18.44 -10.15
"312" 1951 11 8 -23.71 -22.48 -18.52 -10.56
"313" 1951 11 9 -23.58 -22.44 -18.5 -13.96
"314" 1951 11 10 -23.3 -22.37 -18.52 -14.66
"315" 1951 11 11 -22.79 -22.37 -18.65 -14.64
"316" 1951 11 12 -22.69 -22.43 -18.77 -14.66
"317" 1951 11 13 -22.25 -22.38 -18.87 -14.7
"318" 1951 11 14 -19.73 -22.34 -18.95 -14.98
"319" 1951 11 15 -18.08 -22.33 -18.45 -14.89
"320" 1951 11 16 -18.23 -22.55 -18.56 -14.74
"321" 1951 11 17 -18.23 -22.44 -18.71 -14.76
"322" 1951 11 18 -18.24 -22.41 -18.71 -14.82
"323" 1951 11 19 -18.15 -22.37 -18.83 -14.89
"324" 1951 11 20 -18 -22.32 -18.89 -14.9
"325" 1951 11 21 -17.99 -22.31 -18.88 -14.86
"326" 1951 11 22 -17.93 -22.26 -18.88 -14.79
"327" 1951 11 23 -17.87 -22.06 -18.85 -14.84
"328" 1951 11 24 -17.88 -22.09 -18.85 -15.21
"329" 1951 11 25 -17.89 -22.09 -18.86 -15.28
"330" 1951 11 26 -18.34 -22.12 -19.01 -15.29
"331" 1951 11 27 -18.72 -22.14 -19.19 -15.5
"332" 1951 11 28 -18.97 -22.14 -19.22 -16.14
"333" 1951 11 29 -19.33 -22.2 -19.4 -16.2
"334" 1951 11 30 -19.35 -22.35 -19.6 -16.26
"335" 1951 12 1 -13.79 -16 -23.95 -19.77
"336" 1951 12 2 -14.33 -16.22 -23.38 -21.57
"337" 1951 12 3 -13.73 -18.3 -23.34 -21.69
"338" 1951 12 4 -10.45 -18.15 -19.31 -21.22
"339" 1951 12 5 -9.53 -15.59 -16.39 -19.13
"340" 1951 12 6 -10.2 -15.81 -15.79 -16.74
"341" 1951 12 7 -10.66 -15.91 -13.91 -16.54
"342" 1951 12 8 -11.08 -16.34 -13.94 -13.78
"343" 1951 12 9 -11.71 -16.87 -14.29 -13.64
"344" 1951 12 10 -12.39 -16.91 -14.53 -13.74
"345" 1951 12 11 -12.6 -17.17 -14.69 -13.76
"346" 1951 12 12 -13.25 -17.79 -15.11 -13.84
"347" 1951 12 13 -13.35 -18.1 -15.55 -14.38
"348" 1951 12 14 -13.38 -18.18 -15.75 -15.17
"349" 1951 12 15 -13.7 -18.2 -15.79 -15.35
"350" 1951 12 16 -14.07 -18.29 -16.1 -15.5
"351" 1951 12 17 -14.16 -18.33 -16.21 -15.73
"352" 1951 12 18 -14.23 -18.37 -16.28 -15.82
"353" 1951 12 19 -14.23 -18.39 -16.3 -16.76
"354" 1951 12 20 -14.4 -18.46 -16.38 -19.51
"355" 1951 12 21 -14.76 -18.5 -16.46 -19.65
"356" 1951 12 22 -15.82 -18.51 -16.51 -20.66
"357" 1951 12 23 -16.51 -18.62 -17.21 -21.15
"358" 1951 12 24 -16.55 -18.72 -17.41 -21.8
"359" 1951 12 25 -16.56 -18.87 -17.49 -21.83
"360" 1951 12 26 -16.58 -19.02 -17.56 -21.85
"361" 1951 12 27 -17.02 -19.21 -17.69 -21.88
"362" 1951 12 28 -17.18 -19.32 -17.83 -21.91
"363" 1951 12 29 -17.3 -19.38 -17.88 -21.92
"364" 1951 12 30 -17.8 -19.63 -18.15 -21.87
"365" 1951 12 31 -17.96 -19.76 -18.3 -21.57
"366" 1952 1 1 -21.07 -30.79 -27.33 NA
"367" 1952 1 2 -20.19 -35.73 -28.47 -21.28
"368" 1952 1 3 -20.21 -35.67 -28.54 -21.42
"369" 1952 1 4 -20.29 -35.71 -28.63 -21.47
"370" 1952 1 5 -20.34 -35.74 -28.9 -21.77
"371" 1952 1 6 -20.34 -35.8 -29.16 -24.05
"372" 1952 1 7 -20.36 -35.77 -29.16 -24.15
"373" 1952 1 8 -20.42 -35.46 -29.14 -24.12
"374" 1952 1 9 -20.5 -35.17 -29.07 -22.77
"375" 1952 1 10 -21.06 -35 -29.1 -20.98
"376" 1952 1 11 -21.15 -34.92 -29.13 -20.71
"377" 1952 1 12 -21.44 -34.95 -29.18 -20.62
"378" 1952 1 13 -21.42 -35.14 -29.26 -20.65
"379" 1952 1 14 -21.44 -35.18 -29.35 -20.74
"380" 1952 1 15 -22.56 -35.06 -29.29 -20.76
"381" 1952 1 16 -23.7 -34.97 -28.23 -21.12
"382" 1952 1 17 -23.67 -34.9 -27.74 -20.44
"383" 1952 1 18 -23.3 -34.42 -27.64 -20.41
"384" 1952 1 19 -23.25 -33.33 -27.51 -20.66
"385" 1952 1 20 -23.98 -33.25 -27.58 -20.78
"386" 1952 1 21 -24.58 -33.53 -27.79 -20.71
"387" 1952 1 22 -24.61 -33.97 -27.87 -20.19
"388" 1952 1 23 -24.66 -33.92 -27.79 -20.23
"389" 1952 1 24 -24.7 -33.17 -27.54 -20.03
"390" 1952 1 25 -24.72 -33.14 -27.53 -19.95
"391" 1952 1 26 -24.71 -33.12 -27.54 -19.96
"392" 1952 1 27 -24.67 -32.88 -27.45 -19.89
"393" 1952 1 28 -24.71 -32.86 -27.48 -19.89
"394" 1952 1 29 -24.77 -32.88 -27.5 -19.97
"395" 1952 1 30 -24.79 -32.9 -27.52 -19.97
"396" 1952 1 31 -24.81 -32.91 -27.54 -19.98
"397" 1952 2 1 -16.65 -31.26 -27.77 -28.11
"398" 1952 2 2 -19.27 -28.85 -24.21 -22.59
"399" 1952 2 3 -20.65 -28.94 -24.54 -23.62
"400" 1952 2 4 -21.6 -28.82 -24.81 -23.89
"401" 1952 2 5 -25.76 -29.68 -26.27 -24.18
"402" 1952 2 6 -25.78 -30.28 -26.94 -21
"403" 1952 2 7 -25.82 -30.45 -27.1 -19.01
"404" 1952 2 8 -25.72 -30.82 -27.24 -19.16
"405" 1952 2 9 -25.66 -30.81 -27.29 -19.17
"406" 1952 2 10 -25.69 -30.79 -27.07 -19.41
"407" 1952 2 11 -25.42 -30.88 -27.04 -19.85
"408" 1952 2 12 -25.32 -30.73 -26.5 -19.87
"409" 1952 2 13 -25.32 -29.96 -25.48 -19.79
"410" 1952 2 14 -25.32 -30.43 -25.95 -20.2
"411" 1952 2 15 -25.33 -30.44 -26.29 -20.13
"412" 1952 2 16 -25.37 -30.39 -26.31 -20.08
"413" 1952 2 17 -25.33 -30.39 -26.31 -19.97
"414" 1952 2 18 -25.25 -30.39 -26.31 -19.94
"415" 1952 2 19 -25.39 -30.39 -26.35 -19.91
"416" 1952 2 20 -25.45 -30.39 -26.42 -19.62
"417" 1952 2 21 -25.32 -30.39 -26.42 -19.26
"418" 1952 2 22 -24.95 -30.39 -26.42 -19.11
"419" 1952 2 23 -24.77 -30.4 -26.42 -19.1
"420" 1952 2 24 -24.75 -30.4 -26.42 -19.1
"421" 1952 2 25 -24.75 -30.38 -26.43 -19.1
"422" 1952 2 26 -24.76 -30.34 -26.44 -19.14
"423" 1952 2 27 -24.76 -30.35 -26.46 -19.21
"424" 1952 2 28 -24.76 -30.38 -26.46 -19.13
"425" 1952 3 1 -27.6 -39.12 -28.96 -22.99
"426" 1952 3 2 -27.23 -38.11 -29.52 -22.84
"427" 1952 3 3 -27.37 -37.95 -29.48 -22.2
"428" 1952 3 4 -24.93 -35.6 -28.68 -19.19
"429" 1952 3 5 -23.71 -27.39 -22.11 -18.27
"430" 1952 3 6 -23.54 -23.88 -21.26 -18.03
"431" 1952 3 7 -23.51 -22.71 -21.03 -17.76
"432" 1952 3 8 -23.47 -22.82 -20.68 -17.49
"433" 1952 3 9 -23.47 -22.99 -20.98 -17.37
"434" 1952 3 10 -23.32 -23 -20.93 -17.32
"435" 1952 3 11 -21.48 -22.86 -20.75 -17.37
"436" 1952 3 12 -21 -25.82 -24.13 -17.63
"437" 1952 3 13 -21 -27.62 -25.42 -18.18
"438" 1952 3 14 -21.02 -27.41 -24.95 -18.89
"439" 1952 3 15 -21.18 -27.27 -24.41 -18.72
"440" 1952 3 16 -21.35 -27.21 -23.92 -18.76
"441" 1952 3 17 -21.36 -27.18 -23.53 -18.52
"442" 1952 3 18 -21.37 -27.17 -23.5 -18.31
"443" 1952 3 19 -21.36 -27.17 -23.49 -18.27
"444" 1952 3 20 -21.38 -27.23 -23.54 -18.33
"445" 1952 3 21 -21.6 -27.23 -23.58 -18.35
"446" 1952 3 22 -21.69 -27.19 -23.59 -18.53
"447" 1952 3 23 -21.57 -27.19 -23.6 -18.63
"448" 1952 3 24 -21.39 -27.17 -23.56 -18.6
"449" 1952 3 25 -21.4 -26.97 -23.32 -18.59
"450" 1952 3 26 -21.42 -26.77 -23.21 -18.56
